CustomerID,Country,CustomerName,Email,Gender,LoyaltyLevel,SignupDate,City
12434,Australia,Deborah Perez,deborah629@example.com,M,Silver,11/18/2020,North Robertton
16321,Australia,Jessica Greene,jessica415@example.com,M,Bronze,1/11/2023,Oliverton
12386,Australia,Timothy Wilson,timothy311@example.com,F,Silver,6/3/2025,West Brandon
12424,Australia,Tyler Howard,tyler907@example.org,M,Bronze,10/24/2021,Andreachester
12393,Australia,Julia Rivera,julia455@example.com,M,Bronze,12/4/2022,Floresfort
12422,Australia,Daniel Rose,daniel969@example.com,M,Bronze,10/21/2022,Wilkinsonhaven
12388,Australia,Lindsey Keith,lindsey848@example.org,M,Gold,6/23/2023,West Kaylachester
12431,Australia,Alicia Webb,alicia659@example.org,M,Bronze,1/14/2025,Thompsonborough
12415,Australia,Terri Acosta,terri438@example.net,F,Bronze,12/9/2021,Mooreport
12817,Austria,Mrs. Rebecca Harvey,mrs849@example.net,M,Bronze,5/27/2023,Lake Matthewview
12360,Austria,William Hickman,william415@example.com,M,Bronze,4/12/2022,East Donaldhaven
12865,Austria,Tiffany Owen,tiffany474@example.net,M,Bronze,10/10/2025,East Erica
12370,Austria,Misty Johnson,misty699@example.org,M,Bronze,1/13/2023,Port Micheleport
12414,Austria,Tracy Parker,tracy194@example.com,M,Silver,9/26/2022,Port Duanestad
12429,Austria,Tonya Johnston,tonya777@example.com,M,Silver,7/12/2025,Shannonmouth
12453,Austria,Wendy Miller,wendy694@example.org,M,Bronze,11/28/2022,Larsenberg
12358,Austria,Howard Butler,howard495@example.net,F,Gold,7/28/2025,Coxton
12373,Austria,Erik Watkins,erik785@example.net,M,Bronze,9/16/2023,Romeroton
12374,Austria,Daniel Williams,daniel440@example.net,F,Bronze,1/8/2023,Barberland
12818,Austria,Ian Brown,ian837@example.net,F,Silver,10/27/2021,Lake Jennifer
12353,Bahrain,Christopher Mcdonald,christopher574@example.org,M,Bronze,11/19/2023,Mejiafurt
12355,Bahrain,Ashley Long,ashley745@example.net,M,Silver,11/13/2024,North Rebeccaland
12379,Belgium,Christine Whitney,christine193@example.com,F,Bronze,4/25/2022,North Richard
12401,Belgium,Jonathan Zimmerman,jonathan686@example.com,F,Bronze,9/12/2024,South James
12407,Belgium,Sandra Robinson,sandra494@example.org,F,Silver,2/14/2023,Sydneyview
12402,Belgium,Kevin Baker,kevin363@example.net,M,Silver,1/17/2023,Russellton
12866,Belgium,Richard Johnson,richard987@example.net,M,Bronze,9/23/2022,West Jonmouth
12465,Belgium,Brenda Lopez,brenda593@example.com,F,Silver,9/2/2025,Terribury
12447,Belgium,Martha Collins,martha418@example.org,M,Silver,1/29/2021,Lake Christophermouth
12464,Belgium,Mary Kelly,mary249@example.org,M,Silver,7/13/2025,North Jasonview
12431,Belgium,Brian Reyes,brian153@example.org,F,Silver,8/21/2024,West Jessica
12876,Belgium,Dawn Williams,dawn775@example.net,M,Bronze,11/2/2022,Melissaburgh
12397,Belgium,Lindsay Wilson,lindsay887@example.net,F,Gold,8/18/2021,West Beckyhaven
12362,Belgium,Matthew Sanchez,matthew204@example.net,F,Gold,4/4/2024,West Cherylmouth
12449,Belgium,Barbara Garcia,barbara249@example.com,F,Bronze,10/11/2025,Port Steven
12417,Belgium,Mary Hall,mary781@example.net,M,Bronze,3/14/2023,Marshallmouth
12394,Belgium,Bob King,bob654@example.org,F,Bronze,3/7/2021,Daughertyfort
12395,Belgium,Jason Duncan,jason586@example.net,M,Silver,6/15/2025,Port Andrea
12390,Belgium,Danny Glenn,danny762@example.org,F,Gold,3/5/2022,Benjaminland
12383,Belgium,Keith Brown,keith394@example.com,M,Silver,10/11/2023,Ryanville
12423,Belgium,Anne Reed,anne201@example.net,F,Gold,6/19/2021,Edwardsfurt
12408,Belgium,Ian Pham II,ian268@example.org,F,Bronze,9/25/2022,Cantuland
12463,Belgium,Lori Jones,lori528@example.com,M,Bronze,10/19/2023,North Danielchester
12364,Belgium,Kristen Ferrell,kristen133@example.net,M,Bronze,6/13/2022,West Jacob
12399,Belgium,Ashley Li,ashley683@example.net,M,Bronze,1/2/2022,Martinezmouth
12361,Belgium,Adrian Velasquez,adrian112@example.com,M,Gold,4/22/2024,East Victor
12380,Belgium,Calvin Nunez,calvin553@example.org,F,Bronze,10/8/2022,North Thomasfort
12769,Brazil,Joshua Olson,joshua473@example.net,M,Bronze,1/20/2022,East Jillview
17844,Canada,William Morgan,william276@example.org,M,Bronze,10/15/2021,South Jeffrey
17443,Canada,Lindsay George,lindsay112@example.net,M,Silver,9/26/2025,West Amy
17444,Canada,Michael Collins,michael584@example.com,F,Silver,6/10/2025,Annton
15388,Canada,Justin Cooper,justin525@example.net,F,Bronze,8/14/2021,Bateschester
14937,Channel Islands,Joseph Brown,joseph527@example.com,F,Bronze,4/28/2023,Oliviachester
14932,Channel Islands,Alexander Gutierrez,alexander465@example.com,F,Bronze,4/8/2021,Port Jaredfort
14935,Channel Islands,Julie Pierce,julie703@example.com,M,Bronze,3/17/2022,East Jasminborough
14566,Channel Islands,Deborah Mejia,deborah866@example.net,F,Bronze,5/10/2021,South Jasonland
14934,Channel Islands,Glen Miller,glen793@example.com,F,Silver,8/22/2023,Nguyenville
14930,Channel Islands,Ryan Dunn,ryan995@example.net,M,Bronze,3/21/2025,Lake Breannahaven
14442,Channel Islands,Mary Phelps,mary994@example.com,F,Silver,12/4/2021,Lake Jeffrey
14931,Channel Islands,Amanda Mendoza,amanda369@example.org,M,Silver,3/11/2022,West Cynthiatown
14936,Channel Islands,Jason Rocha,jason840@example.org,M,Bronze,4/5/2023,South Danielhaven
12370,Cyprus,Scott Stevenson,scott584@example.com,M,Bronze,7/11/2025,South Beverlyborough
12391,Cyprus,Michelle Vasquez,michelle842@example.net,M,Bronze,6/9/2021,New Robert
12457,Cyprus,Steven Fletcher,steven130@example.com,F,Silver,9/23/2022,New Nataliebury
12420,Cyprus,Michael Palmer,michael422@example.com,F,Bronze,1/16/2023,Jacobsville
12359,Cyprus,Seth Newton,seth414@example.com,F,Silver,3/4/2022,Chaseborough
12455,Cyprus,Mrs. Erika Martinez PhD,mrs937@example.org,M,Silver,8/4/2021,Port Patrickfurt
12365,Cyprus,Christina Velazquez,christina251@example.com,F,Silver,10/1/2025,Lake Cory
13809,Cyprus,Kelly Wheeler MD,kelly466@example.org,M,Bronze,6/1/2025,West Julieberg
12781,Czech Republic,Mark Crane,mark961@example.org,M,Silver,10/25/2023,Weeksland
12367,Denmark,Darrell Shaffer,darrell973@example.org,M,Bronze,12/25/2024,Grayborough
12372,Denmark,Stephanie Rodriguez,stephanie966@example.org,F,Bronze,3/23/2022,Lake Raymondville
13919,Denmark,Nicole Watson,nicole313@example.net,F,Bronze,2/21/2023,North Jamesfort
12406,Denmark,Kelly Gomez,kelly267@example.com,F,Gold,12/25/2020,West Tony
12403,Denmark,Randy Bright,randy959@example.com,M,Silver,7/18/2025,Johnsonview
