CustomerKey,CustomerID,CustomerName,Email,Gender,LoyaltyLevel,SignupDate,City,Country
17,12587,Diana Carter,diana556@example.net,F,Bronze,2023-05-26,Josefurt,Finland
41,12523,Jared Schwartz,jared821@example.org,F,Bronze,2025-09-23,Burtonburgh,France
138,12868,Alec Norris,alec654@example.org,F,Bronze,2021-09-03,Port Vincent,United Kingdom
140,18043,Lauren Hoffman,lauren193@example.com,F,Bronze,2022-08-10,Taylorland,United Kingdom
165,14368,Aaron Foster,aaron231@example.com,F,Bronze,2024-04-11,Millerport,United Kingdom
218,16980,Elizabeth Ford,elizabeth924@example.com,F,Bronze,2024-10-22,Andreastad,United Kingdom
334,16587,Alan Shaw,alan526@example.org,F,Bronze,2025-03-03,Maryhaven,United Kingdom
401,14582,Michael Gutierrez,michael324@example.org,F,Bronze,2023-04-26,East Jacob,United Kingdom
404,13426,Nicole Smith,nicole932@example.net,F,Bronze,2021-04-02,New Andrew,United Kingdom
418,13398,Donna Cantrell,donna980@example.com,F,Bronze,2024-03-08,South Rebekahberg,United Kingdom
474,15581,Paul Mcguire,paul467@example.org,F,Bronze,2024-09-26,Port Kristinland,United Kingdom
517,15427,Dominic Robinson,dominic851@example.org,F,Bronze,2021-05-19,Wilsonberg,United Kingdom
590,15060,Chase Orr,chase683@example.net,F,Bronze,2023-02-23,North Marieberg,United Kingdom
675,15623,Ryan Wilson,ryan463@example.com,F,Bronze,2022-04-25,Valenzuelaville,United Kingdom
704,14503,Robert Blanchard Jr.,robert409@example.com,F,Bronze,2021-09-06,New Jacob,United Kingdom
847,14777,Dakota Sawyer,dakota776@example.org,F,Bronze,2025-04-07,Mollyside,United Kingdom
876,15753,Tina Mckinney,tina775@example.net,F,Bronze,2023-02-05,Thomasshire,United Kingdom
987,13477,Alan Moore,alan529@example.net,F,Bronze,2021-12-29,West Andresmouth,United Kingdom
993,17410,Austin Sims,austin922@example.net,F,Bronze,2024-08-06,Johnburgh,United Kingdom
1000,14208,Lori Moore,lori467@example.com,F,Bronze,2021-05-22,Melindabury,United Kingdom
1047,17334,Monica Robinson,monica427@example.net,F,Bronze,2022-10-06,New Donna,United Kingdom
1084,18227,Christopher Barnes,christopher915@example.org,F,Bronze,2023-01-19,Marcusland,United Kingdom
1092,14547,Dorothy Curry,dorothy138@example.net,F,Bronze,2024-08-04,Sherryton,United Kingdom
1108,15517,Michael Ward,michael100@example.net,F,Bronze,2021-07-10,Kathryntown,United Kingdom
1191,17984,Sean Howard,sean583@example.com,F,Bronze,2022-01-17,Carrview,United Kingdom
1214,17006,Richard Brown,richard223@example.com,F,Bronze,2024-10-29,New Angelafort,United Kingdom
1275,17520,Jared Fleming,jared966@example.org,F,Bronze,2024-01-18,Deborahville,United Kingdom
1281,17754,Daniel Rodriguez,daniel116@example.com,F,Bronze,2023-06-09,Jamesborough,United Kingdom
1375,14331,Kari Burnett,kari645@example.net,F,Gold,2021-04-03,Stephenview,United Kingdom
1404,17871,Jose Fritz,jose859@example.net,F,Gold,2024-05-07,Ryanmouth,United Kingdom
1451,16493,Amanda Smith,amanda333@example.org,F,Gold,2021-08-10,New Keithview,United Kingdom
1548,15054,Richard Taylor,richard900@example.com,F,Gold,2023-09-05,South Jacob,United Kingdom
1563,12407,Sandra Robinson,sandra494@example.org,F,Silver,2023-02-14,Sydneyview,Belgium
1626,12697,David Williams,david226@example.org,F,Silver,2021-04-02,Crystaltown,Sweden
1633,13592,Kathryn Cunningham,kathryn194@example.com,F,Silver,2024-05-26,South Toddfort,United Kingdom
1684,14221,Rickey Reed,rickey546@example.org,F,Silver,2022-03-23,Priceview,United Kingdom
1698,13800,Virginia Ruiz,virginia227@example.com,F,Silver,2024-03-14,New Justinfurt,United Kingdom
1782,15275,Joshua Morgan,joshua560@example.net,F,Silver,2022-08-25,Erinshire,United Kingdom
1803,14301,Nicholas Thomas,nicholas268@example.org,F,Silver,2022-12-07,Joseshire,United Kingdom
1819,15341,Ryan Martinez,ryan311@example.org,F,Silver,2023-12-10,Lake Benjaminport,United Kingdom
1829,15083,Sheila Dalton,sheila140@example.com,F,Silver,2025-07-10,South Lisaside,United Kingdom
1974,14907,Lindsey Robinson,lindsey199@example.org,F,Silver,2021-02-04,Lake Tina,United Kingdom
2067,16517,Elaine Gray,elaine477@example.com,F,Silver,2022-01-15,South Hollyside,United Kingdom
2208,18198,Abigail Brown,abigail491@example.org,F,Silver,2021-12-20,Port Julie,United Kingdom
2342,13520,Christopher Ellis,christopher407@example.net,M,Bronze,2023-07-26,Marthamouth,Switzerland
2354,15835,Chelsea Smith,chelsea320@example.com,M,Bronze,2024-06-19,Tranchester,United Kingdom
2370,17279,Michael Burton,michael488@example.com,M,Bronze,2023-11-28,West Kennethmouth,United Kingdom
2389,16989,Jacqueline Baxter,jacqueline770@example.com,M,Bronze,2024-12-07,Port Stephanie,United Kingdom
2420,16565,Kathy Griffith,kathy917@example.net,M,Bronze,2024-11-10,Port Dana,United Kingdom
2434,13080,Dennis Hart,dennis442@example.com,M,Bronze,2021-01-03,Jeremyport,United Kingdom
2464,17309,Rhonda Lee,rhonda791@example.com,M,Bronze,2021-01-04,West Stephenport,United Kingdom
2526,18170,Matthew Velazquez,matthew581@example.com,M,Bronze,2021-11-02,Lake Susan,United Kingdom
2562,14902,Katherine Miller DVM,katherine651@example.com,M,Bronze,2020-12-25,South Vincentstad,United Kingdom
2714,14427,Cheryl Morales,cheryl438@example.com,M,Bronze,2025-03-04,New Samanthamouth,United Kingdom
2738,14954,Gregory Thomas,gregory381@example.com,M,Bronze,2024-10-08,New Melanie,United Kingdom
2749,16620,Kristen Garcia,kristen953@example.org,M,Bronze,2023-08-27,Jenniferton,United Kingdom
3063,16085,Tammy May,tammy537@example.net,M,Bronze,2022-07-19,Guerrerobury,United Kingdom
3077,16306,Evan Nunez,evan267@example.net,M,Bronze,2024-10-02,Ronaldberg,United Kingdom
3079,13829,Joshua Fowler,joshua251@example.org,M,Bronze,2025-04-15,Careyberg,United Kingdom
3113,17331,Mitchell Wilkinson,mitchell428@example.com,M,Bronze,2022-07-20,Cardenasbury,United Kingdom
3262,15881,James Rojas,james771@example.org,M,Bronze,2021-11-22,Matthewport,United Kingdom
